"Gene","Analysis.ID","Relatedness","adjusted_expression"
"Ttyh1","F1Fc_Rep1","0",433.102141977706
"Ttyh1","F1Fc_Rep2","0",421.575971633263
"Ttyh1","F1Fc_Rep3","0",380.451810208641
"Ttyh1","F1Fc_Rep4","0",407.968946943467
"Ttyh1","F1Fc_Rep5","0",398.258845751213
"Ttyh1","F1Fc_Rep6","0",332.393902826445
"Ttyh1","F1Fc_Rep7","0",367.113603656736
"Ttyh1","F1Fc_Rep8","0",346.606188842247
"Ttyh1","F1Fm_Rep1","0",394.975043552603
"Ttyh1","F1Fm_Rep2","0",453.817161407761
"Ttyh1","F1Fm_Rep3","0",377.683529377086
"Ttyh1","F1Fm_Rep4","0",400.051324837863
"Ttyh1","F1Fm_Rep5","0",391.333970184629
"Ttyh1","F1Fm_Rep6","0",370.020837270518
"Ttyh1","F1Fm_Rep7","0",361.917761393162
"Ttyh1","F1Fm_Rep8","0",382.906732015806
"Ttyh1","F1Mc_Rep1","0",432.046567789187
"Ttyh1","F1Mc_Rep2","0",441.805419093317
"Ttyh1","F1Mc_Rep3","0",411.271909398631
"Ttyh1","F1Mc_Rep4","0",435.0695866642
"Ttyh1","F1Mc_Rep5","0",349.832665670133
"Ttyh1","F1Mc_Rep6","0",353.101373609765
"Ttyh1","F1Mc_Rep7","0",347.997995979295
"Ttyh1","F1Mc_Rep8","0",353.148952714972
"Ttyh1","F1Mm_Rep1","0",374.815410794399
"Ttyh1","F1Mm_Rep2","0",372.513440791893
"Ttyh1","F1Mm_Rep3","0",373.443036538056
"Ttyh1","F1Mm_Rep4","0",358.387960909599
"Ttyh1","F1Mm_Rep5","0",368.81794772104
"Ttyh1","F1Mm_Rep6","0",377.381894919138
"Ttyh1","F1Mm_Rep7","0",374.885821274169
"Ttyh1","F1Mm_Rep8","0",360.464645060799
"Ttyh1","F2Fc_Rep1","50",301.048935526985
"Ttyh1","F2Fc_Rep2","50",367.586987365914
"Ttyh1","F2Fc_Rep3","50",344.13287199418
"Ttyh1","F2Fc_Rep4","50",337.472671557724
"Ttyh1","F2Fc_Rep5","50",304.582151002881
"Ttyh1","F2Fc_Rep7","50",327.803175908053
"Ttyh1","F2Fc_Rep8","50",321.604494438619
"Ttyh1","F2Fm_Rep1","50",334.805373664247
"Ttyh1","F2Fm_Rep2","50",380.775988400493
"Ttyh1","F2Fm_Rep3","50",353.330729648864
"Ttyh1","F2Fm_Rep4","50",346.215489514747
"Ttyh1","F2Fm_Rep5","50",325.889382563839
"Ttyh1","F2Fm_Rep6","50",318.919331063968
