nodeName	altName	nodeAttr[nodesPresent, ]
Dprx	Dprx	firebrick4
LOC143267102	LOC143267102	firebrick4
Serpinh1	Serpinh1	firebrick4
LOC143272400	LOC143272400	firebrick4
LOC143272537	LOC143272537	firebrick4
LOC121828550	LOC121828550	firebrick4
C8g	C8g	firebrick4
Scrn3	Scrn3	firebrick4
LOC121828687	LOC121828687	firebrick4
LOC121828985	LOC121828985	firebrick4
Ttn	Ttn	firebrick4
Smtnl1	Smtnl1	firebrick4
F2	F2	firebrick4
LOC107400156	LOC107400156	firebrick4
LOC143272970	LOC143272970	firebrick4
Capn3	Capn3	firebrick4
Catsper2	Catsper2	firebrick4
Duox1	Duox1	firebrick4
Sppl2a	Sppl2a	firebrick4
LOC121828819	LOC121828819	firebrick4
LOC102910285	LOC102910285	firebrick4
Rassf2	Rassf2	firebrick4
Slc52a3	Slc52a3	firebrick4
Tp53rk	Tp53rk	firebrick4
Dnajb1	Dnajb1	firebrick4
LOC102912797	LOC102912797	firebrick4
LOC107399504	LOC107399504	firebrick4
LOC102908137	LOC102908137	firebrick4
LOC102909278	LOC102909278	firebrick4
LOC102921651	LOC102921651	firebrick4
Tpmt	Tpmt	firebrick4
LOC121829651	LOC121829651	firebrick4
Dnajb4	Dnajb4	firebrick4
Plekho2	Plekho2	firebrick4
Manf	Manf	firebrick4
LOC102920646	LOC102920646	firebrick4
Gask1a	Gask1a	firebrick4
LOC102920460	LOC102920460	firebrick4
LOC143274566	LOC143274566	firebrick4
LOC143274570	LOC143274570	firebrick4
Iba57	Iba57	firebrick4
C1qbp	C1qbp	firebrick4
LOC121826466	LOC121826466	firebrick4
Shpk	Shpk	firebrick4
LOC107401265	LOC107401265	firebrick4
LOC102905347	LOC102905347	firebrick4
LOC143266955	LOC143266955	firebrick4
LOC143266954	LOC143266954	firebrick4
LOC143266959	LOC143266959	firebrick4
LOC107402803	LOC107402803	firebrick4
P3h4	P3h4	firebrick4
LOC121831524	LOC121831524	firebrick4
Engase	Engase	firebrick4
Il17rb	Il17rb	firebrick4
Gpr183	Gpr183	firebrick4
Spmip7	Spmip7	firebrick4
Pno1	Pno1	firebrick4
LOC102903879	LOC102903879	firebrick4
Sanbr	Sanbr	firebrick4
Mtif2	Mtif2	firebrick4
Cimip6	Cimip6	firebrick4
LOC143267514	LOC143267514	firebrick4
LOC143267515	LOC143267515	firebrick4
Bst1	Bst1	firebrick4
Nsun7	Nsun7	firebrick4
Tmem33	Tmem33	firebrick4
Swt1	Swt1	firebrick4
Sdf2l1	Sdf2l1	firebrick4
LOC143268112	LOC143268112	firebrick4
LOC102904734	LOC102904734	firebrick4
LOC102908853	LOC102908853	firebrick4
LOC102905401	LOC102905401	firebrick4
LOC102902910	LOC102902910	firebrick4
LOC102916214	LOC102916214	firebrick4
Ccdc125	Ccdc125	firebrick4
LOC121822847	LOC121822847	firebrick4
Ubxn8	Ubxn8	firebrick4
LOC102917459	LOC102917459	firebrick4
LOC143269126	LOC143269126	firebrick4
LOC143269238	LOC143269238	firebrick4
LOC143269277	LOC143269277	firebrick4
LOC143269254	LOC143269254	firebrick4
LOC143269276	LOC143269276	firebrick4
LOC143269239	LOC143269239	firebrick4
LOC121824536	LOC121824536	firebrick4
Sla	Sla	firebrick4
Cyth4	Cyth4	firebrick4
St13	St13	firebrick4
LOC102913681	LOC102913681	firebrick4
LOC102913375	LOC102913375	firebrick4
P4ha1	P4ha1	firebrick4
Tbxa2r	Tbxa2r	firebrick4
Cirbp	Cirbp	firebrick4
Srsf9	Srsf9	firebrick4
LOC102920763	LOC102920763	firebrick4
Denr	Denr	firebrick4
Hspb1	Hspb1	firebrick4
Hsph1	Hsph1	firebrick4
Gpr34	Gpr34	firebrick4
